GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.09973793622480266,1300471095.0,4.633283515973985,48067890.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.12146138855398743,2919592140.0,-0.3264115037417451,114868010.0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,-0.005780044643265619,855455100.0,2.7892668380314234,33164715.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.012532170146066458,2458711885.0,-0.1023205736071651,127898555.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.22982669590161867,1349949290.0,0.08872124203746484,251314355.0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.02862560481258598,10445563025.0,0.23551821406999696,520731430.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.05504045070225869,1796296430.0,-0.11193463175867695,-368975505.0
2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.006981058897243954,1107005480.0,-0.7569701576620029,16107305.0
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.17029703154682307,21617998195.0,-0.37723135074341374,1500320515.0
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0.20061511358862186,2944523260.0,2.216997384778948,38038455.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.04874750485272985,6275899795.0,0.1172424150338155,186235120.0
2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.10554885864203317,368474935.0,-0.3079771833160506,23945380.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.17893504673862773,2429551275.0,-0.08704856947761615,150453850.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.14583088307734327,22638796180.0,0.12908184794008237,383495790.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.09462377929929922,1253996370.0,0.5543661749625306,14571765.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.19229418088106956,19024503205.0,1.1324615115529124,1547013355.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.061335225782555354,3704060570.0,1.0944853682449676,249168720.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.10820170406194393,2030621775.0,-0.017328944202365814,309653050.0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.12654588655392482,8470091735.0,-0.020823751936744437,101948180.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.07368906782114404,1973910470.0,0.6117233480839877,64490475.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.06356755069651676,119493635.0,-1.0441448643200362,-5500325.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.1928749198976592,830174640.0,0.06265709578355466,98683755.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.32993132011672677,5573674705.0,1.036392360071258,-625218890.0
