GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.0487475048527298,186235120.0,0,3
2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0.1055488586420331,23945380.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.1789350467386277,150453850.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1458308830773432,383495790.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0946237792992992,14571765.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.1922941808810695,1547013355.0,0,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.0613352257825553,249168720.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,-0.1082017040619439,309653050.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.1265458865539248,101948180.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.073689067821144,64490475.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.0635675506965167,-5500325.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.1928749198976592,98683755.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3299313201167267,-625218890.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.046532103627562,-24264480.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.1691295846833441,10216490.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.1912200191000023,-523105.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.432344594615509,-11827390.0,0,3
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.1650722954958176,145031560.0,0,3
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.0461395497117399,2959856963.5,3,0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.2480048682237663,172090150.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0957928840820226,32999130.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.603711790904778,10494135.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.179253920244236,359298385.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.1981453520009148,1207170395.0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0080944242906204,134776925.0,0,3
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.0521797762725742,3501965.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0168344616007058,-71412075.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.2010315728458642,-102143750.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.5247512131961687,817914735.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0894434266404086,-31473565.0,0,3
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0.1682356219508367,19157975.0,0,3
